Average_Validation_Accuracy,Average_Training_Accuracy,Average_Test_Accuracy,Learning_Rate,Batch_Size,Models
0.999165824,0.999073618,0.999083294,0.01,128,Adaptive
0.999508276,0.999575591,0.999502134,0.01,128,ElasticNet
0.999495097,0.999509736,0.999541647,0.01,128,FixedL1
0.998120892,0.998068698,0.998194247,0.01,128,FixedL2
0.99852043,0.998547742,0.998589379,0.01,128,MLP
0.99947754,0.999492173,0.999541647,0.01,128,Novel GRR
0.999644377,0.999646326,0.999687846,0.01,256,Adaptive
0.999758526,0.999704865,0.999743164,0.01,256,ElasticNet
0.999802431,0.999809748,0.999802434,0.01,256,FixedL1
0.999451195,0.99942339,0.999454718,0.01,256,FixedL2
0.999315092,0.999257529,0.999351984,0.01,256,MLP
0.999745356,0.999679011,0.999719456,0.01,256,Novel GRR
0.998485306,0.998613111,0.998692113,0.01,32,Adaptive
0.998586275,0.998605795,0.998696064,0.01,32,ElasticNet
0.999758528,0.999770722,0.999778726,0.01,32,FixedL1
0.997541368,0.997428181,0.997451399,0.01,32,FixedL2
0.996601791,0.996423751,0.996661135,0.01,32,MLP
0.999341435,0.999249724,0.999257152,0.01,32,Novel GRR
0.998876051,0.998916539,0.998968706,0.01,64,Adaptive
0.999231674,0.9991946,0.999296665,0.01,64,ElasticNet
0.999784868,0.999746818,0.999774775,0.01,64,FixedL1
0.997800388,0.997885276,0.998063853,0.01,64,FixedL2
0.997234034,0.997187196,0.997360518,0.01,64,MLP
0.999306308,0.999327776,0.999336178,0.01,64,Novel GRR
0.999657546,0.999591202,0.999715505,0.001,128,Adaptive
0.999771698,0.999692182,0.999758969,0.001,128,ElasticNet
0.99977609,0.999780966,0.999798483,0.001,128,FixedL1
0.999639985,0.999605837,0.999632527,0.001,128,FixedL2
0.999881459,0.999821943,0.999830093,0.001,128,MLP
0.999609253,0.999556078,0.99958116,0.001,128,Novel GRR
0.999736574,0.999660961,0.999675992,0.001,256,Adaptive
0.999758524,0.999762429,0.999755018,0.001,256,ElasticNet
0.999877068,0.999857067,0.99984985,0.001,256,FixedL1
0.999806819,0.999813163,0.999810337,0.001,256,FixedL2
0.999907802,0.999914143,0.999897266,0.001,256,MLP
0.999596081,0.999592178,0.999675992,0.001,256,Novel GRR
0.999723399,0.999705841,0.99973131,0.001,32,Adaptive
0.999719013,0.999732184,0.999719456,0.001,32,ElasticNet
0.999859507,0.999804869,0.999806385,0.001,32,FixedL1
0.99950388,0.999458026,0.999525842,0.001,32,FixedL2
0.999824383,0.99979804,0.999782677,0.001,32,MLP
0.999635593,0.999571201,0.999545598,0.001,32,Novel GRR
0.999604859,0.999577543,0.999620673,0.001,64,Adaptive
0.999675106,0.999692182,0.999747116,0.001,64,ElasticNet
0.999824381,0.999788772,0.999782677,0.001,64,FixedL1
0.999565349,0.999552176,0.99964043,0.001,64,FixedL2
0.999666329,0.999660473,0.999660187,0.001,64,MLP
0.999622422,0.999650717,0.999675992,0.001,64,Novel GRR
1,0.999991707,0.999944682,0.0001,128,Adaptive
0.999916582,0.999910728,0.999865655,0.0001,128,ElasticNet
0.999973658,0.999969755,0.999920974,0.0001,128,FixedL1
0.999512662,0.999547298,0.999506085,0.0001,128,FixedL2
0.999969267,0.999964389,0.999972341,0.0001,128,MLP
0.999986829,0.999989756,0.99994073,0.0001,128,Novel GRR
0.99972779,0.999752185,0.99973131,0.0001,256,Adaptive
0.999719012,0.999699012,0.999719456,0.0001,256,ElasticNet
0.999758528,0.999705353,0.999691797,0.0001,256,FixedL1
0.99960047,0.999633155,0.999596965,0.0001,256,FixedL2
0.999657546,0.999627789,0.999557452,0.0001,256,MLP
0.999798042,0.999762916,0.999695748,0.0001,256,Novel GRR
0.999907801,0.99991024,0.999905168,0.0001,32,Adaptive
0.999947315,0.999918045,0.99990912,0.0001,32,ElasticNet
0.999973658,0.999969755,0.999936779,0.0001,32,FixedL1
0.999622424,0.999534126,0.999569306,0.0001,32,FixedL2
0.999881459,0.999923411,0.999917022,0.0001,32,MLP
0.999991219,0.999983902,0.999960487,0.0001,32,Novel GRR
0.999877068,0.99986536,0.999806385,0.0001,64,Adaptive
0.999793649,0.999818529,0.999814288,0.0001,64,ElasticNet
0.999776089,0.99980487,0.999723408,0.0001,64,FixedL1
0.999666328,0.999719012,0.999644381,0.0001,64,FixedL2
0.999833165,0.999848774,0.999865655,0.0001,64,MLP
0.999749745,0.999778527,0.999739213,0.0001,64,Novel GRR
